rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2602.20466v1,Grasp to Act: Dexterous Grasping for Tool Use in Dynamic Settings,2026,arXiv,http://arxiv.org/abs/2602.20466v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.3390/sym18030394,PI-VLA: Adaptive Symmetry-Aware Decision-Making for Long-Horizon Vision–Language–Action Manipulation,2026,Symmetry,https://doi.org/10.3390/sym18030394,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1002/adrr.202500142,A State‐Adaptive Koopman Control Framework for Real‐Time Deformable Tool Manipulation in Robotic Environmental Swabbing,2026,Advanced Robotics Research,https://doi.org/10.1002/adrr.202500142,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1007/s10846-026-02392-y,PLATO: Planning with LLMs and Affordances for Tool Manipulation,2026,Journal of Intelligent & Robotic Systems,https://doi.org/10.1007/s10846-026-02392-y,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
5,arxiv:2601.15197v7,LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,2026,arXiv,http://arxiv.org/abs/2601.15197v7,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
6,arxiv:2511.05397v1,EveryDayVLA: A Vision-Language-Action Model for Affordable Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2511.05397v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.2139/ssrn.6460223,Object Manipulation Scaffolds the Development of Tool Use in Children,,,https://doi.org/10.2139/ssrn.6460223,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
8,arxiv:2409.12514v5,"TinyVLA: Towards Fast, Data-Efficient Vision-Language-Action Models for Robotic Manipulation",2024,arXiv,http://arxiv.org/abs/2409.12514v5,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1109/tase.2024.3370139,A Dynamic Movement Primitives-Based Tool Use Skill Learning and Transfer Framework for Robot Manipulation,2025,IEEE Transactions on Automation Science and Engineering,https://doi.org/10.1109/tase.2024.3370139,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.3390/sym16040434,The Relation between Infants’ Manual Lateralization and Their Performance of Object Manipulation and Tool Use,2024,Symmetry,https://doi.org/10.3390/sym16040434,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
11,doi:10.15607/rss.2018.xiv.044,Differentiable Physics and Stable Modes for Tool-Use and Manipulation Planning,2018,Robotics: Science and Systems XIV,https://doi.org/10.15607/rss.2018.xiv.044,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
12,doi:10.3390/app9061072,A Latent State-Based Multimodal Execution Monitor with Anomaly Detection and Classification for Robot Introspection,2019,Applied Sciences,https://doi.org/10.3390/app9061072,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
13,doi:10.3390/math14091566,"A New One-Parameter Model Supports an Upside-Down Bathtub Failure Rate: Theory, Inference, and Real-World Applications",2026,Mathematics,https://doi.org/10.3390/math14091566,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
14,doi:10.1037/rev0000027,Tool use and affordance: Manipulation-based versus reasoning-based approaches.,2016,Psychological Review,https://doi.org/10.1037/rev0000027,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
15,doi:10.71465/csb207,SEMANTIC-PRESERVING WATERMARK INJECTION FOR LARGE LANGUAGE MODELS THROUGH LATENT SPACE MANIPULATION,2026,Computer Science Bulletin,https://doi.org/10.71465/csb207,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
16,doi:10.1609/aaai.v40i22.38896,GraphCoT-VLA: A 3D Spatial-Aware Reasoning Vision-Language-Action Model for Robotic Manipulation with Ambiguous Instructions,2026,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v40i22.38896,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
17,arxiv:2411.19650v1,CogACT: A Foundational Vision-Language-Action Model for Synergizing Cognition and Action in Robotic Manipulation,2024,arXiv,http://arxiv.org/abs/2411.19650v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
18,doi:10.20944/preprints202601.0682.v1,PI-VLA: A Symmetry-Aware Predictive and Interactive Vision--Language--Action Framework for Robust Robotic Manipulation,,,https://doi.org/10.20944/preprints202601.0682.v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
19,doi:10.32920/32253735.v1,Development and Evaluation of a Vision-Language Guided Robotic Manipulation Pipeline,,,https://doi.org/10.32920/32253735.v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
20,doi:10.32920/32253735,Development and Evaluation of a Vision-Language Guided Robotic Manipulation Pipeline,,,https://doi.org/10.32920/32253735,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
21,arxiv:2512.01946v3,Scaling Cross-Environment Failure Reasoning Data for Vision-Language Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2512.01946v3,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
22,doi:10.3390/s26113541,Sensing the Action: Rethinking Sensor Modalities and Multi-Modal Fusion in Vision–Language–Action Models for Robotic Manipulation,2026,Sensors,https://doi.org/10.3390/s26113541,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
23,doi:10.3390/s26103140,Uncertainty-Calibrated Safety Gating for Vision–Language– Action Manipulation Under Domain Shift: Reliability Gains and Intervention–Efficiency Trade-Offs,2026,Sensors,https://doi.org/10.3390/s26103140,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
24,doi:10.3390/electronics15112451,Benchmarking Large Language Model Inference on Limited-Resource Edge Systems,2026,Electronics,https://doi.org/10.3390/electronics15112451,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
25,doi:10.3389/frobt.2022.1067502,Sim-to-real via latent prediction: Transferring visual non-prehensile manipulation policies,2023,Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2022.1067502,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
26,doi:10.1111/2041-210x.13901,Deep learning as a tool for ecology and evolution,2022,Methods in Ecology and Evolution,https://doi.org/10.1111/2041-210x.13901,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
27,doi:10.1109/tcds.2020.2986411,Intrinsic Motivations and Planning to Explain Tool-Use Development: A Study With a Simulated Robot Model,2022,IEEE Transactions on Cognitive and Developmental Systems,https://doi.org/10.1109/tcds.2020.2986411,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
28,doi:10.18196/jrc.v3i3.14714,NFT Hydroponic Control Using Mamdani Fuzzy Inference System,2022,Journal of Robotics and Control (JRC),https://doi.org/10.18196/jrc.v3i3.14714,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
29,arxiv:2601.07821v1,Failure-Aware RL: Reliable Offline-to-Online Reinforcement Learning with Self-Recovery for Real-World Manipulation,2026,arXiv,http://arxiv.org/abs/2601.07821v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
30,title:progressvla progress guided diffusion policy for vision language robotic manipulation,ProgressVLA: Progress-Guided Diffusion Policy for Vision-Language Robotic Manipulation,2026,arXiv (Cornell University),https://openalex.org/W7148177967,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
31,doi:10.20944/preprints202606.0425.v1,The Evaluation Bottleneck of Vision-Language-Action Models: A Evaluation-Centric Survey,,,https://doi.org/10.20944/preprints202606.0425.v1,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
32,doi:10.18461/ijfsd.v4i3.433,"A Latent Class Model to discover Household Food Waste Patterns in Lisbon City in Support of Food Security, Public Health and Environmental Protection",2013,International Journal on Food System Dynamics,https://doi.org/10.18461/ijfsd.v4i3.433,Addresses tool use and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Latent fixture inference keeps action-critical alternatives explicit until a physical observation collapses them.
